isolabel_ext,synonym
UY-CA-AguasCorrientes,uy;canelones;aguas.corrientes
UY-CA-AguasCorrientes,uy;ca;acs
UY-CA-Araminda,uy;ca;araminda
UY-CA-Araminda,uy;canelones;araminda
UY-CA-Araminda,uy;ca;ara
UY-CA-Araminda,uy-61
UY-CA-Argentino,uy;ca;ano
UY-CA-Argentino,co-c-ano
UY-CA-Argentino,uy;ca;argentino
UY-CA-Argentino,uy;canelones;argentino
UY-CA-Argentino,uy-89
UY-CA-Atlantida,uy;ca;ada
UY-CA-Atlantida,uy;canelones;atlantida
UY-CA-Atlantida,uy;ca;atlantida
UY-CA-Atlantida,uy-39
UY-CA-BarraCarrasco,uy;canelones;barra.carrasco
UY-CA-BarraCarrasco,uy;ca;barra.carrasco
UY-CA-BarraCarrasco,co-c-bdc
UY-CA-BarraCarrasco,uy;ca;bdc
UY-CA-BarraCarrasco,uy-44
UY-CA-BarraPedrera,uy;ca;barra.pedrera
UY-CA-BarraPedrera,uy-123
UY-CA-BarraPedrera,uy;ca;bpa
UY-CA-BarraPedrera,co-c-bpa
UY-CA-BarraPedrera,uy;canelones;barra.pedrera
UY-CA-BarrioCinacina,uy;ca;blc
UY-CA-BarrioCinacina,uy;canelones;barrio.cinacina
UY-CA-BarrioCinacina,co-c-blc
UY-CA-BarrioCinacina,uy;ca;barrio.cinacina
UY-CA-BarrioCinacina,uy-71
UY-CA-BarrioCopola,uy;ca;barrio.copola
UY-CA-BarrioCopola,uy;ca;bca
UY-CA-BarrioCopola,uy-111
UY-CA-BarrioCopola,uy;canelones;barrio.copola
UY-CA-BarrioRemanso,uy;canelones;barrio.remanso
UY-CA-BarrioRemanso,co-c-bro
UY-CA-BarrioRemanso,uy;ca;barrio.remanso
UY-CA-BarrioRemanso,uy-142
UY-CA-BarrioRemanso,uy;ca;bro
UY-CA-BarrosBlancos,uy;ca;barros.blancos
UY-CA-BarrosBlancos,co-c-bbs
UY-CA-BarrosBlancos,uy;ca;bbs
UY-CA-BarrosBlancos,uy;canelones;barros.blancos
UY-CA-BarrosBlancos,uy-154
UY-CA-BelloHorizonte,uy;ca;bhe
UY-CA-BelloHorizonte,uy;canelones;bello.horizonte
UY-CA-BelloHorizonte,uy-62
UY-CA-BelloHorizonte,uy;ca;bello.horizonte
UY-CA-BelloHorizonte,co-c-bhe
UY-CA-Biarritz,co-c-bia
UY-CA-Biarritz,uy;ca;bia
UY-CA-Biarritz,uy;ca;biarritz
UY-CA-Biarritz,uy;canelones;biarritz
UY-CA-Biarritz,uy-63
UY-CA-Bolivar,uy;ca;bolivar
UY-CA-Bolivar,uy-121
UY-CA-Bolivar,uy;canelones;bolivar
UY-CA-Bolivar,uy;ca;bol
UY-CA-CampoMilitar,uy;ca;cmr
UY-CA-CampoMilitar,uy-135
UY-CA-CampoMilitar,co-c-cmr
UY-CA-CampoMilitar,uy;canelones;campo.militar
UY-CA-CampoMilitar,uy;ca;campo.militar
UY-CA-Canelones,uy;ca;can
UY-CA-Canelones,uy;ca;canelones
UY-CA-Canelones,uy;canelones;canelones
UY-CA-Canelones,uy-125
UY-CA-CapillaCella,uy;ca;cdl
UY-CA-CapillaCella,uy;canelones;capilla.cella
UY-CA-CapillaCella,uy-64
UY-CA-CapillaCella,co-c-cdl
UY-CA-CapillaCella,uy;ca;capilla.cella
UY-CA-Carmel,uy;ca;car
UY-CA-Carmel,uy;canelones;carmel
UY-CA-Carmel,uy;ca;carmel
UY-CA-Carmel,co-c-car
UY-CA-Carmel,uy-76
UY-CA-CarrascoSauce,uy;canelones;carrasco.sauce
UY-CA-CarrascoSauce,co-c-cdy
UY-CA-CarrascoSauce,uy;ca;carrasco.sauce
UY-CA-CarrascoSauce,uy;ca;cdy
UY-CA-CarrascoSauce,uy-150
UY-CA-Casahona,uy;ca;casahona
UY-CA-Casahona,uy;ca;cac
UY-CA-Casahona,uy-646
UY-CA-Casahona,uy;canelones;casahona
UY-CA-Castellanos,co-c-cst
UY-CA-Castellanos,uy-122
UY-CA-Castellanos,uy;ca;castellanos
UY-CA-Castellanos,uy;canelones;castellanos
UY-CA-Castellanos,uy;ca;cst
UY-CA-CeramicasSalinas,uy;ca;ceramicas.salinas
UY-CA-CeramicasSalinas,co-c-css
UY-CA-CeramicasSalinas,uy;canelones;ceramicas.salinas
UY-CA-CeramicasSalinas,uy-51
UY-CA-CeramicasSalinas,uy;ca;css
UY-CA-CityGolf,uy;ca;city.golf
UY-CA-CityGolf,uy;ca;cgf
UY-CA-CityGolf,co-c-cgf
UY-CA-CityGolf,uy-602
UY-CA-CityGolf,uy;canelones;city.golf
UY-CA-ColinasCarrasco,uy;canelones;colinas.carrasco
UY-CA-ColinasCarrasco,uy-65
UY-CA-ColinasCarrasco,uy;ca;cdc
UY-CA-ColinasCarrasco,uy;ca;colinas.carrasco
UY-CA-ColinasSolymar,uy;canelones;colinas.solymar
UY-CA-ColinasSolymar,uy-86
UY-CA-ColinasSolymar,uy;ca;cds
UY-CA-ColinasSolymar,uy;ca;colinas.solymar
UY-CA-ColoniaNicolich,co-c-cnh
UY-CA-ColoniaNicolich,uy;ca;cnh
UY-CA-ColoniaNicolich,uy-96
UY-CA-ColoniaNicolich,uy;ca;colonia.nicolich
UY-CA-ColoniaNicolich,uy;canelones;colonia.nicolich
UY-CA-CostaAzul,uy;ca;costa.azul
UY-CA-CostaAzul,uy;canelones;costa.azul
UY-CA-CostaAzul,uy-93
UY-CA-CostaAzul,uy;ca;cal
UY-CA-CostaPedernal,uy-149
UY-CA-CostaPedernal,co-c-cdz
UY-CA-CostaPedernal,uy;canelones;costa.pedernal
UY-CA-CostaPedernal,uy;ca;costa.pedernal
UY-CA-CostaPedernal,uy;ca;cdz
UY-CA-CostaYGuillamon,uy;ca;costa.y.guillamon
UY-CA-CostaYGuillamon,uy-130
UY-CA-CostaYGuillamon,co-c-cgn
UY-CA-CostaYGuillamon,uy;ca;cgn
UY-CA-CostaYGuillamon,uy;canelones;costa.y.guillamon
UY-CA-CruzCaminos,co-c-cru
UY-CA-CruzCaminos,uy;ca;cruz.caminos
UY-CA-CruzCaminos,uy-100
UY-CA-CruzCaminos,uy;ca;cru
UY-CA-CruzCaminos,uy;canelones;cruz.caminos
UY-CA-CuchillaAlta,uy;ca;caa
UY-CA-CuchillaAlta,uy;canelones;cuchilla.alta
UY-CA-CuchillaAlta,uy-67
UY-CA-CuchillaAlta,co-c-caa
UY-CA-CuchillaAlta,uy;ca;cuchilla.alta
UY-CA-CuchillaSierra,uy;canelones;cuchilla.sierra
UY-CA-CuchillaSierra,uy;ca;cdw
UY-CA-CuchillaSierra,uy;ca;cuchilla.sierra
UY-CA-CuchillaSierra,uy-144
UY-CA-CuchillaSierra,co-c-cdw
UY-CA-CuchillaVerde,uy-146
UY-CA-CuchillaVerde,uy;ca;cuchilla.verde
UY-CA-CuchillaVerde,uy;ca;cve
UY-CA-CuchillaVerde,uy;canelones;cuchilla.verde
UY-CA-CumbresCarrasco,uy;ca;cumbres.carrasco
UY-CA-CumbresCarrasco,uy-28
