selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,3,UY-AR-Pintadito,UY-AR-PTO,2022-10-07,f
t,5,UY-AR-Pintadito,uy;ar;pintadito,2023-11-30,f
t,5,UY-AR-Pintadito,uy;ar;pto,2023-11-30,f
t,5,UY-AR-Pintadito,uy;artigas;pintadito,2023-11-30,f
t,5,UY-AR-PintadoGrande,UY-25,2023-11-30,f
t,3,UY-AR-PintadoGrande,UY-AR-PGE,2022-10-07,f
t,5,UY-AR-PintadoGrande,uy;ar;pge,2023-11-30,f
t,5,UY-AR-PintadoGrande,uy;ar;pintado.grande,2023-11-30,f
t,5,UY-AR-PintadoGrande,uy;artigas;pintado.grande,2023-11-30,f
t,5,UY-AR-PortHierroYCampodonico,UY-14,2023-11-30,f
t,3,UY-AR-PortHierroYCampodonico,UY-AR-PHC,2022-10-07,f
t,5,UY-AR-PortHierroYCampodonico,uy;ar;phc,2023-11-30,f
t,5,UY-AR-PortHierroYCampodonico,uy;ar;port.hierro.y.campodonico,2023-11-30,f
t,5,UY-AR-PortHierroYCampodonico,uy;artigas;port.hierro.y.campodonico,2023-11-30,f
t,5,UY-AR-RinconPacheco,UY-20,2023-11-30,f
t,3,UY-AR-RinconPacheco,UY-AR-RPO,2022-10-07,f
t,5,UY-AR-RinconPacheco,uy;ar;rincon.pacheco,2023-11-30,f
t,5,UY-AR-RinconPacheco,uy;ar;rpo,2023-11-30,f
t,5,UY-AR-RinconPacheco,uy;artigas;rincon.pacheco,2023-11-30,f
t,5,UY-AR-SanGregorio,UY-24,2023-11-30,f
t,3,UY-AR-SanGregorio,UY-AR-SGR,2022-10-07,f
t,5,UY-AR-SanGregorio,uy;ar;san.gregorio,2023-11-30,f
t,5,UY-AR-SanGregorio,uy;ar;sgr,2023-11-30,f
t,5,UY-AR-SanGregorio,uy;artigas;san.gregorio,2023-11-30,f
t,5,UY-AR-Sequeira,UY-8,2023-11-30,f
t,3,UY-AR-Sequeira,UY-AR-SEQ,2022-10-07,f
t,5,UY-AR-Sequeira,uy;ar;seq,2023-11-30,f
t,5,UY-AR-Sequeira,uy;ar;sequeira,2023-11-30,f
t,5,UY-AR-Sequeira,uy;artigas;sequeira,2023-11-30,f
t,5,UY-AR-TomasGomensoro,UY-3,2023-11-30,f
t,3,UY-AR-TomasGomensoro,UY-AR-TGO,2022-10-07,f
t,5,UY-AR-TomasGomensoro,uy;ar;tgo,2023-11-30,f
t,5,UY-AR-TomasGomensoro,uy;ar;tomas.gomensoro,2023-11-30,f
t,5,UY-AR-TomasGomensoro,uy;artigas;tomas.gomensoro,2023-11-30,f
t,5,UY-AR-Topador,UY-21,2023-11-30,f
t,3,UY-AR-Topador,UY-AR-TOP,2022-10-07,f
t,5,UY-AR-Topador,uy;ar;top,2023-11-30,f
t,5,UY-AR-Topador,uy;ar;topador,2023-11-30,f
